
From 1/1/2014 - 01/03/2015 <-- no one knows exact time it was released, some say in 2013, set it 2014 to be sure

SELECT nick, fingerprint, identity, ip, count(identity) FROM agorahooawayyfoe GROUP BY nick ORDER BY count(identity) DESC;



+---------------------+------------------------------------------+-----------------------------+-----------------+-----------------+
| nick                | fingerprint                              | identity                    | ip              | count(identity) |
| minad               | 1390f629ae97676a85e3d29409754a7a20488bec | E5D2Ka6XZ2qF49KUCXVKeiBIi+w | 217.172.172.7   |              48 |
| FreelayGamma        | ae0efc009dc653e6827629bac7d5ae0c781a58a0 | rg78AJ3GU+aCdim6x9WuDHgaWKA | 50.116.3.223    |              48 |
| crabcakes           | 8fc5ad02aea20bd8184b2f60c77599d396c2b800 | j8WtAq6iC9gYSy9gx3WZ05bCuAA | 162.248.141.108 |              48 |
| casttor             | ca88e530f72d7674e4b3c62529392576b1dd3cb4 | yojlMPctdnTks8YlKTkldrHdPLQ | 130.184.75.118  |              48 |
| 0xRADIUM            | 0858f19801dc8b969ad7e780223ba0174568e321 | CFjxmAHci5aa1+eAIjugF0Vo4yE | 151.236.24.228  |              48 |
| Synologyds212j      | d6ef3a4071e50c8f34a277e7e9e3878b5cf64d97 | 1u86QHHlDI80onfn6eOHi1z2TZc | 83.202.241.121  |              48 |
| stalkr              | 76f3a81a0784dcf536f6de19f98eaeb1f89deccf | dvOoGgeE3PU29t4Z+Y6usfid7M8 | 37.187.31.39    |              48 |
| secretsquirrel      | 1917ee15c3ed50d7c6b4a19512fbff965dca5a4c | GRfuFcPtUNfGtKGVEvv/ll3KWkw | 97.122.163.75   |              48 |
| GridRunner          | 4f0697b2cac05303559d5782b9b3daf5586922ec | TwaXssrAUwNVnVeCubPa9VhpIuw | 178.198.13.35   |              48 |
| TorAustralisVI      | 5668da56085f8a4d5d03ceebb5d45ed841d1ed42 | VmjaVghfik1dA87rtdRe2EHR7UI | 192.3.46.54     |              48 |
| portal1113          | 476e27233f5018579e38dc38746dba3e1ad53757 | R24nIz9QGFeeONw4dG26PhrVN1c | 75.134.181.185  |              48 |
| torbiter            | 952f65e73d830d5f21825507c8f0be7f99648361 | lS9l5z2DDV8hglUHyPC+f5lkg2E | 208.76.88.154   |              48 |
